RPM;TORQUE
1167.0316919283487;5.445113254526556
994.5141457361344;4.87003327934505
910.3069274220195;4.437998082207235
777.9743918260128;3.782016260948743
725.9006776738304;3.333413912861298
653.8093971845514;2.6764651372672246
754.3710364944684;2.145155961676375
874.8680510229572;2.0950677270932543
1003.3585547255866;2.1732621010306117
1063.6288184623816;2.0759864948711124
1115.8669148516128;1.9788398159563574
1160.0680091216027;1.8978735062569996
1167.9744724055406;2.3150820702492325
1167.848768341915;2.732419561486209
1163.648963344373;3.342438819993392
1163.4507377055788;4.000547940790163
1167.1960741653975;4.899364227524356
1163.1026341447694;5.156251762677176
846.146284075068;4.118000660752129
693.8541994021;3.0610551083391746
669.8108798478659;2.884876028396225
702.0990967034917;2.354662734385702
665.9108306943539;2.4997058847229257
826.684716480931;2.0637384066204136
935.1044713580068;2.110152214728325